Vernier Format 2
Sin título.cmbl 16/09/2025 15:37:50 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.1	-0.785398163397	-4.63481879141	3.19626886318	0.5139855	-0.212088333333	-0.487520509259
0.2	-1.27409035396	-4.31726583028	3.09418864921	0.496321	-0.259250833333	-0.475658425926
0.3	-1.67551608191	-3.97353293037	2.63536636823	0.467166	-0.31547425	-0.383270740741
0.4	-2.05948851735	-3.72336907092	1.5458822904	0.4316655	-0.355005	-0.110180810185
0.5	-2.40855436775	-3.60701378745	-0.140999978923	0.3922205	-0.352241944444	0.342438919753
0.6	-2.75762021815	-3.75245789179	-1.69199974707	0.3568915	-0.293360277778	0.874282121914
0.7	-3.14159265359	-4.0627386477	-2.00658995793	0.3287655	-0.175501666667	1.35900516975
0.8	-3.57792496659	-4.29544921463	-0.96693395288	0.3164175	-0.00119097222222	1.59670999228
0.9	-4.03171057211	-4.24696784652	-0.021547274716	0.327908	0.179836805556	1.43512152778
1	-4.43313630007	-4.14030883668	-0.612750624736	0.357063	0.311653611111	0.963218634259
1.1	-4.83456202802	-4.26636039376	-2.35403976272	0.395136	0.382826111111	0.340313695988
1.2	-5.27089434102	-4.61542624416	-4.01452662052	0.439383	0.382492638889	-0.331897492284
1.3	-5.74213323906	-5.13417688295	-4.54916837441	0.47677	0.314130833333	-0.968829436728
1.4	-6.26573201466	-5.83230858375	-1.97830915986	0.5071255	0.183505	-1.49813719136
1.5	-6.98131700798	-5.8129160365	3.03008550693	0.519988	-0.0122908333333	-1.70788063272
1.6	-7.5223690761	-4.92570700007	5.24945480268	0.5036955	-0.199892777778	-1.46385042438
1.7	-7.92379480405	-4.34877871955	3.51085907403	0.4738545	-0.325516527778	-0.947683063272
1.8	-8.34267382453	-4.22272716246	1.30765023433	0.4347525	-0.396355555556	-0.301884992284
1.9	-8.76155284501	-4.24211970971	0.364956965502	0.3894765	-0.397117777778	0.455017554012
2	-9.19788515801	-4.23242343609	0.355530032814	0.3472875	-0.305508194444	1.18156354167
2.1	-9.61676417849	-4.14515697349	0.249140363904	0.321734	-0.137819305556	1.64072303241
