Vernier Format 2
Sin título.cmbl 9/09/2025 17:37:07 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.535423	0.0211516666667	-0.169869691358	-0.0349065850399	-1.43504849608	-2.57489932856
0.1	0.536795	0.0131483333333	-0.181625910494	-0.10471975512	-1.53201123231	-3.08126028439
0.15	0.537138	0.00302983333333	-0.190714351852	-0.174532925199	-1.74532925199	-3.09957546789
0.2	0.5369665	-0.00533555555556	-0.206763364198	-0.279252680319	-1.94895099806	-1.3844124005
0.25	0.536795	-0.0174358333333	-0.225194320988	-0.383972435439	-1.90046962995	0.673352334874
0.3	0.5352515	-0.0298219444444	-0.211029691358	-0.471238898038	-1.79381062011	1.21203420277
0.35	0.5335365	-0.0379205555556	-0.206011728395	-0.558505360638	-1.74532925199	0.904985538071
0.4	0.53165	-0.0489727777778	-0.223902777778	-0.645771823238	-1.71624043113	0.554842323937
0.45	0.5287345	-0.0615494444444	-0.22337345679	-0.733038285838	-1.65806278939	-0.274727752629
0.5	0.5253045	-0.0714583333333	-0.218397839506	-0.802851455917	-1.74532925199	-0.937306450145
0.55	0.521703	-0.0828916666667	-0.217656790123	-0.907571211037	-1.83259571459	-0.140057285654
0.6	0.5170725	-0.0946108333333	-0.199077623457	-0.994837673637	-1.76472179924	0.818796439207
0.65	0.5119275	-0.1020425	-0.194843055556	-1.08210413624	-1.71624043113	1.14200555995
0.7	0.506954	-0.110903333333	-0.23454212963	-1.16937059884	-1.61927769491	0.818796439207
0.75	0.501466	-0.129196666667	-0.209611111111	-1.23918376892	-1.60958142128	0.0107736373581
0.8	0.4934055	-0.136628333333	-0.111316203704	-1.32645023152	-1.66775906302	-0.037707730753
0.85	0.4872315	-0.1346275	-0.115603703704	-1.41371669412	-1.60958142128	-0.21547274716
0.9	0.480543	-0.142630833333	-0.225226080247	-1.4835298642	-1.62897396853	-1.41673331258
0.95	0.47334	-0.158351666667	-0.327490895062	-1.57079632679	-1.75502552562	-2.5910597846
1	0.464765	-0.1775025	-0.386616049383	-1.65806278939	-1.91986217719	-3.17822302061
1.05	0.4556755	-0.198463611111	-0.399425617284	-1.76278254451	-2.09439510239	-3.17283620193
1.1	0.4450425	-0.220758611111	-0.338077314815	-1.86750229963	-2.25923175397	-2.55873887252
1.15	0.433209	-0.235145555556	-0.214216203704	-1.98967534727	-2.38528331106	-1.27128920824
1.2	0.421204	-0.241910277778	-0.0863322530864	-2.11184839491	-2.39497958468	0.0754154615054
1.25	0.408856	-0.24353	0.0371583333333	-2.23402144255	-2.3174093957	0.296275027345
1.3	0.396508	-0.2375275	0.145404475309	-2.33874119767	-2.3174093957	-0.355530032813
1.35	0.3850175	-0.228095	0.232266049383	-2.46091424531	-2.39497958468	-0.382464126208
1.4	0.373527	-0.214470277778	0.31341095679	-2.58308729295	-2.39497958468	0.150830923012
1.45	0.363237	-0.1946525	0.357820987654	-2.70526034059	-2.32710566933	-0.204699109802
1.5	0.354319	-0.177978888889	0.39614382716	-2.80998009571	-2.35619449019	-1.52446968616
1.55	0.345401	-0.159018611111	0.506083796296	-2.93215314335	-2.54042368901	-1.77765016407
1.6	0.337855	-0.129101388889	0.648788734568	-3.07177948351	-2.59860133075	-0.754154615059
1.65	0.3321955	-0.0918477777778	0.748671604938	-3.19395253115	-2.60829760437	0.366303670171
1.7	0.328594	-0.0518311111111	0.789958641975	-3.33357887131	-2.56951250988	1.62681924106
1.75	0.326879	-0.00981361111111	0.762063425926	-3.45575191895	-2.43376467917	2.50487068573
1.8	0.327908	0.0265825	0.686105864198	-3.57792496659	-2.27862430121	2.51564432309
1.85	0.3297945	0.0575477777778	0.625022222222	-3.68264472171	-2.1428764705	1.70223470256
1.9	0.3335675	0.0887036111111	0.570502160494	-3.78736447683	-2.10409137602	0.737994159023
1.95	0.338884	0.115286111111	0.50677191358	-3.89208423195	-2.09439510239	0.231633203196
2	0.3452295	0.138819722222	0.450663888889	-3.99680398707	-2.09439510239	0.0484813681103
