"Último: Tiempo (s)","Último: Angulo (rad)","Último: Velocidad 1 (rad/s)","Último: Aceleración 1 (rad/s²)","Último: Posición (m)","Último: Velocidad 2 (m/s)","Último: Aceleración 2 (m/s²)"
0.05,-0.279252680319,-5.87594181505,4.00132891476,0.3294515,-0.203322777778,2.33115080247
0.1,-0.575958653158,-5.73049771071,5.09700783406,0.31556,-0.0979455555556,2.57128785494
0.15,-0.872664625997,-5.39306738866,5.79190744366,0.313159,0.047677,2.7309787037
0.2,-1.11701072128,-5.03236600992,4.51846350794,0.320362,0.193318611111,2.55526530864
0.25,-1.36135681656,-4.90631445283,2.45423459015,0.3339105,0.318513611111,2.05190222222
0.3,-1.60570291183,-4.8481368111,1.12153564897,0.3538045,0.404073055556,1.40744333333
0.35,-1.85004900711,-4.77056662212,-0.808022801849,0.375928,0.452569444444,0.875443981481
0.4,-2.07694180987,-4.83844053747,-4.36332312999,0.399595,0.484011111111,0.479882407407
0.45,-2.32128790515,-5.17781011425,-8.31186122169,0.424634,0.502495,0.0420280864198
0.5,-2.58308729295,-5.75958653158,-10.2942104956,0.450702,0.497731111111,-0.593792283951
0.55,-2.89724655831,-6.36075549616,-8.83976945223,0.476084,0.451997777778,-1.41709814815
0.6,-3.22885911619,-6.74860644104,-4.65421133865,0.4978645,0.357958611111,-2.25998888889
0.65,-3.57792496659,-6.92313936624,1.51908286748,0.5139855,0.216375833333,-2.86277962963
0.7,-3.94444410951,-6.61285861033,7.55231978795,0.520674,0.0495444444444,-2.98447052469
0.75,-4.25860337487,-5.93411945678,9.01753446864,0.51793,-0.1003275,-2.69085617284
0.8,-4.52040276267,-5.52687596465,6.76584426082,0.509355,-0.222568888889,-2.26072993827
0.85,-4.79965544298,-5.3329504922,5.24676139334,0.495292,-0.328136666667,-1.76957299383
0.9,-5.06145483078,-5.06145483078,4.60034315186,0.4752265,-0.403025,-1.23008904321
0.95,-5.30580092606,-4.80935171661,2.94120299873,0.453446,-0.444947222222,-0.807002777778
1,-5.53269372882,-4.73178152763,0.333982758098,0.4306365,-0.477722777778,-0.489886574074
1.05,-5.7770398241,-4.75117407487,-3.22131757004,0.4052545,-0.497731111111,-0.0855912037037
1.1,-6.00393262686,-4.94509954732,-8.50578669413,0.3798725,-0.494110555556,0.542977469136
1.15,-6.24827872214,-5.60444615363,-12.6590238956,0.3551765,-0.461620833333,1.58155817901
1.2,-6.54498469498,-6.5546809686,-9.65317907276,0.330995,-0.359578333333,3.01241867284
1.25,-6.92895713042,-6.97162073436,0.851117351281,0.3136735,-0.147013611111,4.09138657407
1.3,-7.29547627334,-6.37045176978,9.45925360031,0.3143595,0.106139444444,4.02649182099
1.35,-7.57472895366,-5.54626851189,9.02292128732,0.3280795,0.2924075,3.12934567901
1.4,-7.81907504893,-5.24568402961,3.69535761379,0.3462585,0.416840277778,2.11839552469
1.45,-8.08087443673,-5.3329504922,0.452492769036,0.370783,0.502018611111,1.12554814815
1.5,-8.36012711705,-5.35234303945,-0.0484813681109,0.398909,0.529839722222,0.187326697531
1.55,-8.62192650485,-5.29416539772,-1.05581646108,0.426006,0.5084975,-0.485652006173
1.6,-8.88372589265,-5.35234303945,-3.93776445435,0.450359,0.466861111111,-0.876290895062
1.65,-9.14552528045,-5.66262379536,-7.21833702985,0.4724825,0.421223055556,-1.25554938272
1.7,-9.44223125329,-6.15713375009,-8.32263485905,0.4934055,0.351860833333,-1.81551805556
1.75,-9.75639051865,-6.69042879931,-5.00974137147,0.509355,0.244101666667,-2.43191234568
1.8,-10.1229096616,-6.91344309262,3.05432619099,0.519645,0.0980408333333,-2.80773024691
1.85,-10.4894288045,-6.34136294891,9.9763881935,0.519645,-0.0588816666667,-2.72436219136
1.9,-10.7686814848,-5.52687596465,9.55621633654,0.512099,-0.185886944444,-2.36310061728
1.95,-11.0130275801,-5.19720266149,5.07977001429,0.5002655,-0.292598055556,-1.98913533951
2,-11.2748269679,-5.15841756701,2.42406840555,0.482601,-0.386541944444,-1.57536512346
2.05,-11.5366263557,-5.05175855716,1.47060149937,0.460306,-0.452283611111,-1.12687145062
2.1,-11.780972451,-4.95479582094,-0.258567296592,0.4364675,-0.496301944444,-0.700238734568
2.15,-12.0253185462,-5.00327718905,-3.18899665796,0.4103995,-0.526123888889,-0.158743364198
2.2,-12.2696646415,-5.29416539772,-5.4622341405,0.382788,-0.525838055556,0.671549537037
2.25,-12.5489173218,-5.69171261623,-4.64882451997,0.3555195,-0.470576944444,1.73786666667
2.3,-12.8456232947,-5.92442318316,-0.48481368111,0.333053,-0.351575,2.7695662037
2.35,-13.15978256,-5.77897907883,4.37409676734,0.317961,-0.177597777778,3.42110740741
2.4,-13.4390352404,-5.32325421858,6.07094465123,0.3143595,0.0179122222222,3.45339598765
2.45,-13.6833813356,-5.00327718905,4.40641767942,0.3208765,0.191031944444,2.93820787037
2.5,-13.9277274309,-4.89661817921,2.63954115271,0.3352825,0.321943611111,2.14406759259
2.55,-14.1720735262,-4.82874426385,2.24630338914,0.3548335,0.4073125,1.29376635802
2.6,-14.4164196215,-4.68330015952,1.93386790576,0.377986,0.446185833333,0.572301851852
2.65,-14.6433124242,-4.51846350794,-0.527908230541,0.400967,0.450378055556,0.148527469136
2.7,-14.8527519345,-4.65421133865,-4.58418269582,0.422919,0.450473333333,-0.0592310185185
2.75,-15.0970980298,-5.04206228354,-7.62773524946,0.4459,0.447996111111,-0.330666820988
2.8,-15.3588974176,-5.46869832292,-9.34074358938,0.4683665,0.428654722222,-0.838020987654
2.85,-15.6381500979,-6.01168964576,-9.38383813881,0.490147,0.3747275,-1.56684305556
2.9,-15.9523093632,-6.60316233671,-5.28985594277,0.5078115,0.274304722222,-2.32049027778
2.95,-16.3188285061,-6.75830271467,2.51025750441,0.519645,0.129863611111,-2.79158595679
3,-16.6678943565,-6.18622257096,7.17524248042,0.5211885,-0.0262966666667,-2.81069444444
3.05,-16.9296937443,-5.69171261623,5.42452640975,0.5157005,-0.160257222222,-2.57636404321
3.1,-17.2089464247,-5.66262379536,3.31828030626,0.5050675,-0.285833333333,-2.23569305556
3.15,-17.5056523975,-5.51717969103,3.59839487757,0.4865455,-0.393020833333,-1.71473533951
3.2,-17.7674517853,-5.27477285047,3.5122057787,0.463736,-0.458667222222,-1.16133024691
3.25,-18.0292511731,-5.09054365165,1.91770744972,0.4398975,-0.502399722222,-0.704790895062
3.3,-18.2735972684,-5.00327718905,-1.47060149937,0.4131435,-0.530887777778,-0.191031944444
3.35,-18.5179433637,-5.18750638787,-5.68848052502,0.3857035,-0.531078333333,0.548905864198
3.4,-18.7797427515,-5.64323124812,-7.98865210095,0.3586065,-0.490299444444,1.60204290123
3.45,-19.0764487243,-6.18622257096,-5.81237735464,0.334082,-0.383874166667,2.86066234568
3.5,-19.4080612822,-6.467414506,1.05581646108,0.3160745,-0.191508333333,3.78919722222
3.55,-19.7571271326,-6.08925983474,7.78933980983,0.313159,0.0383016666667,3.82132700617
3.6,-20.0363798129,-5.34264676583,8.02097301302,0.3225915,0.221044444444,3.15909351852
3.65,-20.2632726157,-5.06145483078,3.71151806983,0.3373405,0.3558625,2.32864182099
3.7,-20.5250720035,-5.11963247252,1.43289376861,0.359121,0.455904166667,1.42186203704
3.75,-20.7868713913,-5.04206228354,1.40057285654,0.385189,0.502209166667,0.475436111111
3.8,-21.0312174865,-4.9354032737,0.937306450145,0.4117715,0.494586944444,-0.271488734568
3.85,-21.2755635818,-4.90631445283,-0.350143214135,0.43561,0.459905833333,-0.702250154321
3.9,-21.5199096771,-4.94509954732,-2.30017157593,0.457905,0.416554444444,-0.949495987654
3.95,-21.7642557724,-5.11963247252,-4.53570132771,0.477456,0.365961944444,-1.19832978395
4,-22.0260551602,-5.42991322843,-5.92550054689,0.494949,0.302888055556,-1.56641959877
4.05,-22.3053078405,-5.77897907883,-5.57535733276,0.5088405,0.213708055556,-2.0151779321
4.1,-22.6020138133,-6.1183486556,-2.49409704837,0.5174155,0.0991841666667,-2.39808873457
4.15,-22.9336263712,-6.1183486556,2.22475611443,0.5198165,-0.0372536111111,-2.53767067901
4.2,-23.230332344,-5.78867535245,4.86968408581,0.5132995,-0.167784166667,-2.38856095679
4.25,-23.5095850244,-5.47839459654,4.4118044981,0.502152,-0.279926111111,-2.11839552469
4.3,-23.7713844122,-5.29416539772,2.53180477913,0.485002,-0.381301666667,-1.7837058642
4.35,-24.0331838,-5.24568402961,0.764928252417,0.46305,-0.460191666667,-1.38433317901
4.4,-24.2949831878,-5.24568402961,-0.495587318467,0.4385255,-0.523456111111,-0.874173611111
4.45,-24.5567825756,-5.28446912409,-1.80997107614,0.4097135,-0.558518333333,-0.125925462963
4.5,-24.8185819634,-5.42991322843,-2.77959843836,0.3805585,-0.544417222222,0.814042746914
4.55,-25.0978346437,-5.61414242725,-2.27862430121,0.35329,-0.479151944444,1.80699598765
4.6,-25.377087324,-5.78867535245,0.894211900713,0.330652,-0.362436666667,2.71986296296
4.65,-25.6912465894,-5.65292752174,6.1032655633,0.314531,-0.192270555556,3.26241697531
4.7,-25.9704992697,-5.01297346267,8.04252028774,0.310758,-0.00743166666667,3.1896882716
4.75,-26.1799387799,-4.57664114967,4.76733453091,0.31556,0.144345833333,2.7097
4.8,-26.4068315827,-4.53785605519,0.942693268824,0.3267075,0.262395,2.1779970679
4.85,-26.6337243854,-4.57664114967,-1.33054421371,0.3424855,0.358244444444,1.68673425926
4.9,-26.8606171882,-4.71238898038,-2.5910597846,0.3630655,0.435038333333,1.13438780864
4.95,-27.1049632835,-4.85783308472,-3.42601667984,0.38759,0.475626666667,0.532285185185
5,-27.3493093788,-4.99358091543,-5.32217685485,0.412286,0.4810575,0.0547847222222
5.05,-27.593655474,-5.34264676583,-7.76779253511,0.435953,0.473816388889,-0.321721296296
5.1,-27.8729081543,-5.87594181505,-8.02097301302,0.4594485,0.45962,-0.902598148148
5.15,-28.1870674197,-6.30257785442,-5.07977001429,0.483973,0.399404444444,-1.75734567901
5.2,-28.5186799776,-6.41893313789,-0.980400999577,0.5023235,0.277544166667,-2.47452268519
5.25,-28.8328392429,-6.3801480434,2.93042936137,0.5126135,0.1311975,-2.75384537037
5.3,-29.1644518008,-6.13774120285,6.6419474312,0.5153575,-0.0156255555556,-2.61923904321
5.35,-29.4611577737,-5.62383870087,8.24721939754,0.510041,-0.140725277778,-2.23198780864
5.4,-29.7229571615,-5.16811384063,6.94360927722,0.500094,-0.238385,-1.81964675926
5.45,-29.9673032567,-4.90631445283,4.84274999242,0.485688,-0.320133333333,-1.45637376543
5.5,-30.211649352,-4.72208525401,3.23747802608,0.467166,-0.381206388889,-1.15291404321
5.55,-30.4385421548,-4.5863374233,1.83151835086,0.447272,-0.432751666667,-0.883701388889
5.6,-30.6654349575,-4.54755232881,0.705673246948,0.4237765,-0.475626666667,-0.48321712963
5.65,-30.8923277603,-4.53785605519,-0.037707730753,0.398566,-0.490680555556,0.107452160494
5.7,-31.1192205631,-4.54755232881,-0.878051444676,0.3730125,-0.467623333333,0.767938888889
5.75,-31.3461133658,-4.59603369692,-2.16550110896,0.3503745,-0.409313333333,1.36236635802
5.8,-31.5730061686,-4.7608703485,-3.28595939419,0.3315095,-0.3301375,1.92233503086
5.85,-31.8173522639,-5.00327718905,-2.77959843836,0.3160745,-0.219234166667,2.47574012346
5.9,-32.0791516517,-5.12932874614,-0.517134593183,0.308014,-0.0750788888889,2.8338787037
5.95,-32.3409510395,-5.04206228354,1.54601696087,0.308014,0.0811766666667,2.81948117284
6,-32.5852971347,-4.89661817921,2.01467018594,0.316932,0.221711388889,2.4652066358
6.05,-32.82964323,-4.77056662212,0.91037235675,0.3315095,0.332424166667,1.9635691358
6.1,-33.0565360328,-4.77056662212,-1.01810873033,0.3510605,0.418841111111,1.41212253086
6.15,-33.3008821281,-4.89661817921,-2.56951250988,0.374556,0.475150277778,0.819494753086
6.2,-33.5452282233,-5.06145483078,-3.5391398721,0.399595,0.503257222222,0.18907345679
6.25,-33.8070276111,-5.24568402961,-4.65959815733,0.4265205,0.493824722222,-0.422980401235
6.3,-34.0688269989,-5.47839459654,-6.65272106856,0.450359,0.452855277778,-0.895875771605
