"Último: Tiempo (s)","Último: Angulo (rad)","Último: Velocidad 1 (rad/s)","Último: Aceleración 1 (rad/s²)","Último: Posición (m)","Último: Velocidad 2 (m/s)","Último: Aceleración 2 (m/s²)"
0.033333,-0.174532925199,-4.7415252165,-2.79258265456,0.4958065,-0.339573395734,-1.02408985669
0.066666,-0.331612557879,-4.8142479959,-3.13438313572,0.4851735,-0.369800573006,-1.15739804368
0.099999,-0.488692190558,-4.96551137704,-2.75622090125,0.4724825,-0.413404884049,-1.26958987084
0.133332,-0.663225115758,-5.0905945576,-0.283621675854,0.4577335,-0.460482104821,-1.20970658984
0.166665,-0.837758040957,-4.97423811056,1.90535587369,0.441441,-0.500070417371,-0.944662330652
0.199998,-0.994837673637,-4.84333710766,1.07145966434,0.4241195,-0.527796527965,-0.508841148994
0.233331,-1.15191730632,-4.91605988705,0.375738117584,0.405769,-0.537229122291,0.0493072361398
0.266664,-1.32645023152,-4.90151533117,1.61203773028,0.3877615,-0.526081510815,0.662074699761
0.299997,-1.4835298642,-4.77061432826,2.03625818562,0.370097,-0.492781594483,1.25661992394
0.33333,-1.64060949687,-4.72698066062,1.68476123691,0.354319,-0.438615636156,1.73206554392
0.366663,-1.79768912955,-4.69789154887,2.50896097871,0.340599,-0.373159148258,2.07328590996
0.399996,-1.95476876223,-4.62516876947,5.1391278018,0.32928,-0.299270492705,2.34578580437
0.433329,-2.11184839491,-4.37791131953,8.24199741799,0.320362,-0.21580632473,2.53836986437
0.466662,-2.25147473507,-3.9852083108,8.47228852231,0.314531,-0.123195398621,2.505379274
0.499995,-2.37364778271,-3.70886174911,5.22397189287,0.312473,-0.040302903029,2.22263681363
0.533328,-2.49582083035,-3.56341619032,-0.303014610955,0.312473,0.0241531581982,1.9497796204
0.566661,-2.60054058547,-3.73795086086,-5.41790124388,0.314188,0.083464167975,1.85080784931
0.599994,-2.74016692563,-4.07247564608,-6.19361864793,0.317961,0.143918522519,1.86783909271
0.633327,-2.87979326579,-4.21792120486,-4.4724956577,0.3236205,0.208660419938,1.87105478202
0.66666,-3.01941960595,-4.37791131953,-2.13322286113,0.3318525,0.272973563069,1.75374167188
0.699993,-3.17649923863,-4.37791131953,0.315135195393,0.3421425,0.327854111874,1.5700900822
0.733326,-3.31612557879,-4.2615548725,-0.278773442079,0.353976,0.374731247312,1.44920398393
0.766659,-3.45575191895,-4.29064398426,-3.91494877354,0.36701,0.422751727517,1.35058951166
0.799992,-3.59537825911,-4.52335687832,-7.51476235169,0.382102,0.469914699147,1.08380639824
0.833325,-3.75245789179,-4.90151533117,-7.93898280703,0.3987375,0.502785861192,0.569057908879
0.866658,-3.92699081699,-5.14877278111,-5.58758942602,0.4162305,0.512218455518,-0.0610980969558
0.899991,-4.10152374219,-5.23604011638,-4.26644572225,0.4337235,0.4956399564,-0.565842219566
0.933324,-4.27605666739,-5.32330745166,-6.09665397242,0.450016,0.458195415287,-0.631227902273
0.966657,-4.45058959259,-5.58510945748,-9.57526170619,0.46305,0.448905739057,-0.589900339614
0.99999,-4.6425758103,-6.02144613384,-11.1266965143,0.479857,0.438758554252,-1.09607365747
1.033323,-4.85201532054,-6.45778281021,-8.37532384681,0.4937485,0.386307613076,-1.9301281857
1.066656,-5.0789081233,-6.69049570427,-1.83020825017,0.506268,0.307273906072,-2.69760603518
1.099989,-5.30580092606,-6.63231748075,6.20573923237,0.515186,0.19651238179,-3.11731304039
1.133322,-5.53269372882,-6.21052536027,11.8054492428,0.5194735,0.0826066593999,-2.99642694213
1.166655,-5.72467994654,-5.64328768099,11.2115406053,0.519988,-0.0115763657637,-2.59256018428
1.199988,-5.89921287174,-5.33785200754,6.55723618107,0.5181015,-0.086322529892,-2.26575087035
1.233321,-6.07374579694,-5.25058467226,2.69076974528,0.514157,-0.155780724474,-2.13652779979
1.266654,-6.24827872214,-5.23604011638,1.21205844382,0.5078115,-0.226525181918,-2.08781606167
1.299987,-6.42281164734,-5.22149556051,1.69688182135,0.499065,-0.297126721267,-1.97097934995
1.33332,-6.59734457254,-5.16331733699,3.40588422714,0.4879175,-0.362726127261,-1.70098054722
1.366653,-6.77187749774,-4.97423811056,4.42401331995,0.4745405,-0.415605822725,-1.29413629926
1.399986,-6.92895713042,-4.78515888414,2.9816637718,0.4594485,-0.446190295236,-0.967922483353
1.433319,-7.0860367631,-4.7415252165,0.412099870898,0.4446995,-0.471629716297,-0.865496823739
1.466652,-7.24311639578,-4.77061432826,-1.84232883461,0.428407,-0.504786714534,-0.740799538139
1.499985,-7.40019602846,-4.91605988705,-2.67864916085,0.4107425,-0.528225282253,-0.406606048747
1.533318,-7.57472895366,-4.97423811056,-2.81197558967,0.392735,-0.536085777524,0.0907538984022
1.566651,-7.73180858633,-5.04696088996,-4.33916922888,0.374556,-0.525509838432,0.725078390384
1.599984,-7.90634151153,-5.25058467226,-6.13301572574,0.357063,-0.490780741141,1.46730712377
1.633317,-8.08087443673,-5.4978421222,-6.54511559664,0.3411135,-0.42918304183,2.26551267114
1.66665,-8.27286065445,-5.74509957214,-4.64218383984,0.3277365,-0.339573395734,3.04299488737
1.699983,-8.46484687217,-5.90508968681,0.399979286461,0.3177895,-0.223952656193,3.68029686946
1.733316,-8.67428638241,-5.80327779566,7.47840059838,0.3119585,-0.0830354136875,3.91146920122
1.766649,-8.86627260013,-5.2942183399,11.1630582676,0.3123015,0.0557380573806,3.54214132858
1.799982,-9.02335223281,-4.85788166353,8.93287073096,0.3167605,0.161926202595,2.86315448503
1.833315,-9.18043186549,-4.68334699299,5.40578065944,0.323792,0.242817844845,2.25777119686
1.866648,-9.33751149817,-4.52335687832,2.29079045882,0.333396,0.30598764321,1.84687756237
1.899981,-9.47713783833,-4.52335687832,-0.47270279309,0.344372,0.361011110111,1.58759772402
1.933314,-9.63421747101,-4.63971332535,-0.654511559663,0.357406,0.413890805575,1.26852988436
1.966647,-9.79129710369,-4.63971332535,1.16357610607,0.3723265,0.452335773358,0.764262160167
1.99998,-9.94837673637,-4.50881232244,1.66052006803,0.388276,0.467342173422,0.202707526353
2.033313,-10.0880030765,-4.46517865481,0.121205844382,0.4042255,0.459052923863,-0.164238354195
2.066646,-10.2450827092,-4.47972321068,-2.42411688764,0.418803,0.447905312386,-0.260113535578
2.099979,-10.3847090494,-4.58153510184,-6.18149806349,0.433895,0.441759834265,-0.298820906944
2.133312,-10.541788682,-4.93060444293,-8.83590605546,0.4488155,0.423466317997,-0.239509304051
2.166645,-10.7163216072,-5.23604011638,-9.53889995288,0.4611635,0.42746802468,-0.287863743357
2.199978,-10.8908545324,-5.55602034572,-9.90251748602,0.477456,0.423466317997,-0.879074178618
2.233311,-11.0828407502,-5.94872335445,-8.38744443124,0.4910045,0.373587902546,-1.6408352471
2.266644,-11.2922802604,-6.19598080439,-4.38765156663,0.5026665,0.306988069881,-2.23061648711
2.299977,-11.5017197706,-6.2541590279,0.484823377529,0.5119275,0.221237212372,-2.64734600221
2.33331,-11.7111592809,-6.18143624851,5.85424228366,0.51793,0.12148038147,-2.73750440259
2.366643,-11.9205987911,-5.87600057505,10.7145966434,0.5198165,0.0278690286903,-2.49192101873
2.399976,-12.1125850088,-5.32330745166,10.9327671633,0.5191305,-0.0465912992463,-2.16963748976
2.433309,-12.2696646415,-4.94514899881,5.50274533495,0.5163865,-0.110332769994,-2.01040131894
2.466642,-12.4267442742,-4.98878266644,0.812079157361,0.5119275,-0.175932175988,-1.97800622659
2.499975,-12.6012771994,-5.0905945576,1.52719363922,0.504896,-0.246247879145,-1.84151808018
2.533308,-12.7758101246,-4.94514899881,4.20584280006,0.4951205,-0.304558462251,-1.54555556373
2.566641,-12.9328897573,-4.72698066062,4.75126909978,0.4841445,-0.348577235772,-1.2697208804
2.599974,-13.08996939,-4.5379014342,2.58168448534,0.471625,-0.384020923543,-1.14264160272
2.633307,-13.2295957301,-4.52335687832,-0.618149806349,0.458591,-0.419750447504,-1.15193137185
2.66664,-13.3866753628,-4.65425788123,-1.83020825017,0.4440135,-0.463912139121,-1.07082454138
2.699973,-13.5437549955,-4.69789154887,-1.57567597697,0.427378,-0.498784154508,-0.769264343543
2.733306,-13.7008346282,-4.72698066062,-2.08474052337,0.410228,-0.517220588873,-0.379927737406
2.766639,-13.8579142608,-4.78515888414,-3.99979286461,0.3925635,-0.522651476515,0.0158402473589
2.799972,-14.0149938935,-4.98878266644,-6.08453338798,0.375242,-0.518649769831,0.523085461657
2.833305,-14.1895268187,-5.23604011638,-6.71480377877,0.3575775,-0.49664038307,1.30771365414
2.866638,-14.3640597439,-5.48329756632,-5.56334825714,0.3411135,-0.438472718061,2.295644871
2.899971,-14.5560459616,-5.67237679275,-2.24230812107,0.327222,-0.34143133098,3.19663337679
2.933304,-14.7480321794,-5.67237679275,2.23018753663,0.3174465,-0.213233799005,3.69971010494
2.966637,-14.9400183971,-5.48329756632,5.47850416607,0.3129875,-0.0810345603456,3.73365349214
2.99997,-15.1145513223,-5.23604011638,6.29058332343,0.3123015,0.0433041830418,3.4716343629
3.033303,-15.2890842475,-5.00332722232,4.92095728192,0.316246,0.154065707324,3.05954973236
3.066636,-15.4461638801,-4.84333710766,1.66052006804,0.323106,0.246533715337,2.64555950815
3.099969,-15.6032435128,-4.93060444293,-0.593908637473,0.3328815,0.329283292833,2.25157801745
3.133302,-15.777776438,-4.95969355469,-0.715114481855,0.345401,0.398169815031,1.81245777675
3.166635,-15.9348560707,-4.97423811057,-0.763596819608,0.359807,0.452049937166,1.32462579794
3.199968,-16.1093889959,-4.98878266644,-1.3332642882,0.3760995,0.486493198265,0.84596448865
3.233301,-16.2664686286,-5.03241633408,-2.86045792742,0.392735,0.50421504215,0.480686002561
3.266634,-16.4410015538,-5.19240644875,-4.25432513781,0.4097135,0.516363080297,0.187939175431
3.299967,-16.615534479,-5.30876289578,-5.72091585484,0.427378,0.520364786981,-0.180554999971
3.3333,-16.7900674042,-5.55602034572,-7.28447124737,0.445214,0.501213762138,-0.499980138442
3.366633,-16.9820536219,-5.89054513093,-6.26634215456,0.460306,0.48806529732,-0.878359580993
3.399966,-17.1914931321,-6.00690157796,-4.38765156663,0.4783135,0.454622462891,-1.56306320555
3.433299,-17.3834793499,-6.09416891324,-4.65430442427,0.4920335,0.380162134955,-2.15582193567
3.466632,-17.5929188601,-6.29779269554,-5.22397189287,0.503524,0.302271772718,-2.51443084392
3.499965,-17.8023583703,-6.51596103372,-3.51496948708,0.512442,0.212662126621,-2.81742023701
3.533298,-18.0292511731,-6.64686203663,1.56355539253,0.5181015,0.111619032857,-2.98749447181
3.566631,-18.2561439759,-6.44323825433,7.33295358512,0.519988,0.00728882288823,-2.95271738739
3.599964,-18.4655834861,-6.03599068972,9.32072943299,0.5184445,-0.0917534175342,-2.71773386829
3.633297,-18.6575697038,-5.65783223687,6.50875384332,0.5132995,-0.174360076934,-2.45404734459
3.66663,-18.832102629,-5.5705649016,2.63016682309,0.506611,-0.24953499535,-2.32077488749
3.699963,-19.0240888467,-5.62874312511,2.60592565422,0.497007,-0.330283719504,-2.1396243895
3.733296,-19.2160750645,-5.46875301045,4.70278676203,0.484316,-0.400456504565,-1.73802052413
3.766629,-19.3906079897,-5.25058467226,5.24821306175,0.469567,-0.448191148578,-1.27746235467
