"Último: Tiempo (s)","Último: Angulo (rad)","Último: Velocidad 1 (rad/s)","Último: Aceleración 1 (rad/s²)","Último: Posición (m)","Último: Velocidad 2 (m/s)","Último: Aceleración 2 (m/s²)"
0.033333,-0.191986217719,-5.20695100463,3.23377192812,0.302526,0.0720307203072,1.2816070209
0.066666,-0.366519142919,-5.13422822523,4.63854766451,0.304241,0.107188571886,1.54784227614
0.099999,-0.541052068118,-4.94805790998,6.40694093404,0.307671,0.167042670427,1.80493068177
0.133332,-0.698131700798,-4.69789154887,7.70626758582,0.314874,0.239530728641,1.74847746937
0.166665,-0.855211333477,-4.40700043129,7.86141106663,0.324478,0.293553768871,1.40330299648
0.199998,-0.994837673637,-4.07247564608,5.00822548987,0.3349395,0.330569555696,1.08799870431
0.233331,-1.11701072128,-4.01429742256,0.569667468596,0.3466015,0.361439864399,0.89896381252
0.266664,-1.25663706144,-4.13065386959,-1.30902311933,0.359121,0.38859430261,0.774742925337
0.299997,-1.3962634016,-4.17428753723,-0.981767339496,0.372498,0.414462477958,0.606336084994
0.33333,-1.53588974176,-4.18883209311,-0.496943961966,0.386904,0.43332766661,0.311802763802
0.366663,-1.67551608191,-4.18883209311,-0.60602922191,0.4018245,0.437758127581,-0.0501409333692
0.399996,-1.81514242207,-4.20337664899,-1.68476123691,0.4165735,0.426610516105,-0.316924046783
0.433329,-1.95476876223,-4.2615548725,-3.93918994242,0.4302935,0.411889952233,-0.438524742673
0.466662,-2.09439510239,-4.46517865481,-6.29058332343,0.4440135,0.396597715977,-0.517368680655
0.499995,-2.25147473507,-4.71243610475,-7.93898280703,0.456876,0.377160854942,-0.59204413249
0.533328,-2.40855436775,-4.98878266644,-9.84191456383,0.4690525,0.359010256769,-0.739846741305
0.566661,-2.58308729295,-5.32330745166,-12.7872165823,0.4810575,0.332284572846,-1.04617092331
0.599994,-2.75762021815,-5.83236690742,-15.4658657432,0.491519,0.293267932679,-1.51506606506
0.633327,-2.96705972839,-6.47232736609,-14.1204808705,0.5009515,0.237958629586,-2.19059902009
0.66666,-3.19395253115,-6.93775315421,-7.40567709175,0.508326,0.150492754928,-2.92103689267
0.699993,-3.43829862643,-7.083198713,2.8846990963,0.5119275,0.0335857525242,-3.31942506872
0.733326,-3.68264472171,-6.70504026015,11.7327257362,0.510727,-0.0886092194255,-3.15637771057
0.766659,-3.89208423195,-6.09416891324,14.1810837927,0.505239,-0.18793729604,-2.62340698177
