Vernier Format 2
Sin título.cmbl 16/09/2025 15:32:49 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.1	-0.418879020479	-5.07115110441	-2.22664150096	0.4899755	0.240385833333	-0.934725285494
0.2	-0.890117918517	-5.39355220234	-0.577197621454	0.518273	0.164997291667	-1.15487517747
0.3	-1.50098315672	-5.48033385126	2.11095956983	0.5362805	0.0317846666667	-1.37857019676
0.4	-2.05948851735	-4.94994768413	4.46446065068	0.5290775	-0.137819305556	-1.35306751157
0.5	-2.49582083035	-4.3245380355	4.3709993466	0.503867	-0.271160555556	-0.999624008488
0.6	-2.89724655831	-3.9318389538	2.59159846646	0.469567	-0.345334305556	-0.513457237654
0.7	-3.26376570123	-3.78639484947	0.456532883045	0.4316655	-0.373155416667	0.00852206790124
0.8	-3.63028484415	-3.90275013293	-0.96289383887	0.3915345	-0.351193888889	0.601837962963
0.9	-4.03171057211	-4.13546069986	-0.844383827932	0.3555195	-0.258583888889	1.21751766975
1	-4.48549617763	-4.13546069986	-0.0727220521664	0.333053	-0.0921336111111	1.63663402778
1.1	-4.86946861306	-4.03849796364	-0.227593089188	0.334425	0.104710277778	1.65105802469
1.2	-5.27089434102	-4.12091628943	-1.04100270972	0.35672	0.272589722222	1.26401851852
1.3	-5.6897733615	-4.26636039376	-1.90154699369	0.3942785	0.37772875	0.62383125
1.4	-6.1261056745	-4.46028586621	-3.09203392174	0.4392115	0.401167083333	-0.0910961419753
1.5	-6.5624379875	-4.85783308472	-4.15189049684	0.4796855	0.354814444444	-0.765834837963
1.6	-7.06858347058	-5.46869832292	-3.24690495876	0.5146715	0.246150138889	-1.37127218364
1.7	-7.67944870878	-5.80321976288	0.42959878965	0.536109	0.0623116666667	-1.72746550926
1.8	-8.30776723949	-5.38143186032	4.06300798863	0.5294205	-0.143011944444	-1.60977098765
1.9	-8.77900613753	-4.68330015952	4.72558668615	0.5019805	-0.293789027778	-1.10716747685
2	-9.21533845053	-4.22272716246	3.02065857425	0.4639075	-0.369439583333	-0.489119058642
2.1	-9.59931088597	-4.04819423726	0.762234843078	0.424291	-0.388685694444	0.135956095679
2.2	-10.0007366139	-4.1500051103	-0.64237812747	0.382102	-0.348811944444	0.802252121914
2.3	-10.4196156344	-4.33908244593	-0.368997079511	0.3472875	-0.227046944444	1.40424888117
2.4	-10.8908545324	-4.3245380355	0.91171906142	0.3304805	-0.039445	1.67938993056
2.5	-11.3097335529	-4.07243492132	1.4423207013	0.33957	0.149586111111	1.50505806327
2.6	-11.6937059884	-3.90759826974	0.646418241479	0.365295	0.286738472222	1.02415671296
2.7	-12.0776784238	-3.89305385931	-0.85785087463	0.4021675	0.360769305556	0.435789969136
2.8	-12.4616508592	-4.04819423726	-2.63684774337	0.4426415	0.370297083333	-0.137993981481
2.9	-12.8630765872	-4.4554377294	-3.77750659865	0.4796855	0.330042222222	-0.674526967593
3	-13.3343154852	-4.99842905224	-2.85905401388	0.512785	0.236003055556	-1.177990625
3.1	-13.8928208459	-5.23113961917	0.0282807980647	0.5325075	0.0815577777778	-1.5090412037
3.2	-14.433872914	-4.94025141051	2.4617761363	0.5311355	-0.0952777777778	-1.5125744213
3.3	-14.8876585195	-4.52815978156	2.79306548506	0.5108985	-0.246912361111	-1.21345513117
3.4	-15.3239908325	-4.25181598333	1.56891094026	0.477456	-0.34986	-0.737317669753
3.5	-15.7254165605	-4.15970138392	-0.257220591922	0.4371535	-0.401405277778	-0.142387345679
3.6	-16.1268422884	-4.35362685636	-1.40057285654	0.393078	-0.39230625	0.592786574074
3.7	-16.5806278939	-4.65905947546	-0.433638903659	0.350889	-0.291264166667	1.3635837963
3.8	-17.1042266695	-4.55724860243	1.6295126504	0.325507	-0.0928005555556	1.81742361111
3.9	-17.52310569	-4.15970138392	2.21667588641	0.3308235	0.124670972222	1.70301087963
4	-17.9070781255	-3.98032032191	1.50696252545	0.356034	0.285261666667	1.15255675154
4.1	-18.3085038534	-3.90759826974	1.04234941439	0.394793	0.365199722222	0.451748996914
4.2	-18.6924762889	-3.82033180714	0.922492698778	0.4354385	0.36658125	-0.165095216049
4.3	-19.0764487243	-3.7136727973	0.655845174168	0.472311	0.315035972222	-0.586818479938
4.4	-19.4429678672	-3.5827731034	-0.498280727807	0.501123	0.230524583333	-0.801365509259
4.5	-19.7571271326	-3.77669857584	-1.79246391544	0.517587	0.146013194444	-0.905072723765
4.6	-20.1760061531	-4.1500051103	-1.13796544594	0.530621	0.0547847222222	-1.02049116512
4.7	-20.6297917586	-4.14515697349	0.852464055951	0.53165	-0.0631215277778	-1.06267804784
4.8	-21.0312174865	-3.87366131207	1.96214870382	0.517587	-0.175549305556	-0.925623611111
4.9	-21.3977366295	-3.62155819789	1.71435504459	0.493577	-0.258298055556	-0.670821720679
5	-21.7468024798	-3.46641781993	0.601976987378	0.4632215	-0.309176388889	-0.387132137346
5.1	-22.0784150377	-3.47611409356	-0.816103029868	0.430465	-0.337759722222	-0.054837654321
5.2	-22.4274808881	-3.65064701875	-1.90424040302	0.3935925	-0.333615138889	0.417819521605
5.3	-22.794000031	-3.95607963785	-1.93386790576	0.3586065	-0.267444722222	1.00420131173
5.4	-23.230332344	-4.1500051103	-0.85515746529	0.3332245	-0.125576111111	1.48678325617
5.5	-23.6492113645	-4.106371879	0.0996561455614	0.32928	0.0622163888889	1.60762723765
