Vernier Format 2
Sin título.cmbl 9/09/2025 17:41:33 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.1	0.5373095	-0.00695527777778	-0.243903171296	-0.0698131700798	-2.04591373428	-3.15829179149
0.2	0.5376525	-0.0262728472222	-0.304122696759	-0.244346095279	-2.39013144787	-2.49584776445
0.3	0.535766	-0.06199725	-0.364123877315	-0.523598775598	-2.69653369433	-1.09002275969
0.4	0.5263335	-0.106996944444	-0.353320435957	-0.820304748437	-2.68101965654	0.860274943035
0.5	0.512785	-0.139820138889	-0.271585335648	-1.08210413624	-2.43861281598	2.03433207412
0.6	0.4975215	-0.161734027778	-0.182081126543	-1.308996939	-2.15257274413	1.91258997198
0.7	0.4793425	-0.172119305556	-0.136723611111	-1.50098315672	-1.98288795574	0.891518491374
0.8	0.4628785	-0.180980138889	-0.167940316358	-1.69296937443	-1.96349540849	-0.360916851493
0.9	0.444871	-0.204847222222	-0.201949189815	-1.88495559215	-2.06530628153	-1.49214877408
1	0.422233	-0.230905694444	-0.135969328704	-2.09439510239	-2.29316871165	-2.22475611442
1.1	0.3973655	-0.242339027778	0.048962191358	-2.33874119767	-2.57436064669	-2.26785066386
1.2	0.371812	-0.228761944444	0.32562503858	-2.61799387799	-2.78283052957	-1.84094528355
1.3	0.348831	-0.180837222222	0.63519841821	-2.89724655831	-2.95251531796	-1.17701988136
1.4	0.332367	-0.09604	0.871315277778	-3.21140582367	-3.0591743278	-0.110429782919
1.5	0.3277365	0.00928958333333	0.931869598765	-3.52556508903	-2.99130041245	1.03696259571
1.6	0.335111	0.106425277778	0.815974768519	-3.82227106187	-2.79252680319	1.5312032095
1.7	0.351575	0.177693055556	0.626702816358	-4.08407044967	-2.59375319394	1.07332362179
1.8	0.3723265	0.228190277778	0.450888850309	-4.32841654495	-2.52587927858	0.0915759175431
1.9	0.397537	0.268349861111	0.265666203704	-4.57276264023	-2.61799387799	-0.47942686243
2	0.427721	0.287024305556	0.0313887345679	-4.85201532054	-2.71495661421	-0.1602578557
2.1	0.4577335	0.274781111111	-0.204119405864	-5.13126800086	-2.67617151972	0.468653225073
2.2	0.4841445	0.242053194444	-0.394053009259	-5.39306738866	-2.56951250988	0.670658925535
2.3	0.50764	0.1912225	-0.521513503086	-5.63741348394	-2.51618300496	0.544068686578
2.4	0.523418	0.1294825	-0.557494097222	-5.89921287174	-2.45315722641	0.234326612536
2.5	0.532679	0.0744119444444	-0.53444216821	-6.1261056745	-2.42891654236	-0.440372427008
2.6	0.537824	0.0238194444444	-0.51472496142	-6.37045176978	-2.54527182583	-1.01406861632
2.7	0.537481	-0.0262013888889	-0.514248572531	-6.63225115758	-2.69071593016	-0.979054294907
2.8	0.5328505	-0.0786994444444	-0.515293981481	-6.9115038379	-2.80222307681	-0.335329462767
2.9	0.5218745	-0.131721527778	-0.488483873457	-7.20820981074	-2.76343798232	0.371690488851
3	0.506268	-0.180741944444	-0.418137114198	-7.47000919854	-2.66162710929	0.445759245687
3.1	0.4844875	-0.217280972222	-0.325108950617	-7.73180858633	-2.63253828842	0.0511747774505
3.2	0.4618495	-0.24310125	-0.243315625	-7.99360797413	-2.64708269886	-0.441719131678
3.3	0.436296	-0.268254583333	-0.125912229938	-8.25540736193	-2.72950102465	-0.801289278501
3.4	0.407141	-0.27825875	0.0922474151235	-8.53466004225	-2.85070444492	-0.690859495581
3.5	0.3778145	-0.256344861111	0.376704513889	-8.83136601509	-2.91373022347	-0.118510010938
3.6	0.352947	-0.200416805556	0.636574652778	-9.12807198793	-2.87009699217	0.445759245687
3.7	0.335797	-0.120431111111	0.802265354938	-9.40732466825	-2.79252680319	0.6989397236
3.8	0.328251	-0.0310129166667	0.859987808642	-9.68657734857	-2.7101084774	0.709713360957
3.9	0.329623	0.0584529166667	0.826600887346	-9.94837673637	-2.63738642524	0.552148914597
4	0.3404275	0.140868194444	0.711738233025	-10.2101761242	-2.60344946756	0.389197649557
4.1	0.3592925	0.2058	0.536215393519	-10.471975512	-2.55496809945	0.180458425746
